"","binID","start","high","medium","low"
"40036","chrX_3050400","3050300","51","0","0"
"2","chrX_3050500","  3050400"," 64","  6","  0"
"1","gap 1","0","100","100","100"
"4","chrX_3052700","  3052600"," 26"," 10","  0"
"5","chrX_3052800","  3052700"," 35","  5","  1"
"6","chrX_3052900","  3052800"," 19","  0","  0"
"11","gap 2","0","100","100","100"
"8","chrX_3054300","  3054200"," 74"," 21","  8"
"9","chrX_3054400","  3054300"," 44"," 10","  0"
"12","gap 3","0","100","100","100"
"111","chrX_3054900","  3054800"," 17","  0","  0"
"121","chrX_3055000","  3054900"," 26","  0","  0"
"13","gap 4","0","100","100","100"
"14","chrX_3055200","  3055100"," 21","  0","  0"
"15","chrX_3055300","  3055200"," 40","  7","  0"
"16","gap 5","0","100","100","100"
"17","chrX_3055700","  3055600"," 65","  9","  0"
"18","chrX_3055800","  3055700"," 53"," 14","  0"
"19","gap 6","0","100","100","100"
"20","chrX_3194500","  3194400"," 10","  7","  0"
"21","chrX_3194600","  3194500"," 23"," 10","  0"
"110","gap 7","0","100","100","100"
"23","chrX_3211000","  3210900"," 19","  6","  1"
"24","chrX_3211100","  3211000"," 18","  3","  0"
"25","chrX_3211200","  3211100"," 28","  2","  0"
"26","chrX_3211300","  3211200"," 52","  6","  0"
"112","gap 8","0","100","100","100"
"28","chrX_3211900","  3211800"," 23","  0","  0"
"29","chrX_3212000","  3211900"," 16","  0","  0"
"113","gap 9","0","100","100","100"
"31","chrX_3214300","  3214200"," 96"," 31"," 12"
"32","chrX_3214400","  3214300"," 13","  0","  0"
"114","gap 10","0","100","100","100"
"34","chrX_3292600","  3292500"," 24","  8","  0"
"35","chrX_3292700","  3292600","  9","  6","  0"
"115","gap 11","0","100","100","100"
"37","chrX_3308300","  3308200"," 44","  0","  0"
"38","chrX_3308400","  3308300"," 66","  1","  0"
"116","gap 12","0","100","100","100"
"40","chrX_3313100","  3313000"," 64","  0","  0"
"41","chrX_3313200","  3313100"," 78","  2","  0"
"117","gap 13","0","100","100","100"
"43","chrX_3316700","  3316600"," 35","  4","  0"
"44","chrX_3316800","  3316700"," 21","  0","  0"
"118","gap 14","0","100","100","100"
"46","chrX_3361900","  3361800"," 10","  4","  0"
"47","chrX_3362000","  3361900","  9"," 10","  0"
"119","gap 15","0","100","100","100"
"49","chrX_3371600","  3371500"," 11","  8","  0"
"50","chrX_3371700","  3371600"," 59"," 28"," 12"
"51","chrX_3371800","  3371700","  8","  2","  0"
"120","gap 16","0","100","100","100"
"53","chrX_3396400","  3396300"," 16","  0","  0"
"54","chrX_3396500","  3396400"," 52"," 12","  0"
"122","gap 17","0","100","100","100"
"56","chrX_3469800","  3469700"," 41","  4","  0"
"57","chrX_3469900","  3469800"," 13","  4","  0"
"123","gap 18","0","100","100","100"
