"","binID","start","high","medium","low"
"5455","chrY_694100","694000","49","0","1"
"2","chrY_694200","  694100","  8"," 0"," 0"
"1","gap 1","0","100","100","100"
"4","chrY_694400","  694300"," 11"," 0"," 0"
"5","chrY_694500","  694400"," 12"," 0"," 0"
"11","gap 2","0","100","100","100"
"7","chrY_695100","  695000"," 16"," 7"," 0"
"8","chrY_695200","  695100"," 29"," 4"," 0"
"12","gap 3","0","100","100","100"
"10","chrY_703100","  703000"," 20"," 9"," 0"
"111","chrY_703200","  703100"," 47","11"," 3"
"13","gap 4","0","100","100","100"
"131","chrY_703700","  703600"," 34","11"," 0"
"14","chrY_703800","  703700"," 17"," 0"," 0"
"15","gap 5","0","100","100","100"
"16","chrY_704600","  704500"," 25"," 0"," 0"
"17","chrY_704700","  704600"," 22"," 4"," 0"
"18","gap 6","0","100","100","100"
"19","chrY_704900","  704800"," 35","24"," 2"
"20","chrY_705000","  704900"," 30"," 9"," 0"
"110","gap 7","0","100","100","100"
"22","chrY_708600","  708500"," 12"," 0"," 0"
"23","chrY_708700","  708600"," 22"," 0"," 0"
"112","gap 8","0","100","100","100"
"25","chrY_710200","  710100"," 14","11"," 5"
"26","chrY_710300","  710200"," 17","14"," 2"
"113","gap 9","0","100","100","100"
"28","chrY_715500","  715400"," 10"," 0"," 0"
"29","chrY_715600","  715500"," 39","10"," 0"
"114","gap 10","0","100","100","100"
"31","chrY_725500","  725400"," 46"," 7"," 0"
"32","chrY_725600","  725500","  7"," 0"," 0"
"115","gap 11","0","100","100","100"
"34","chrY_754100","  754000"," 11"," 6"," 0"
"35","chrY_754200","  754100","  8"," 3"," 0"
"116","gap 12","0","100","100","100"
"37","chrY_763800","  763700"," 49","12"," 0"
"38","chrY_763900","  763800"," 17","12"," 0"
"117","gap 13","0","100","100","100"
"40","chrY_847100","  847000"," 28","14"," 0"
"41","chrY_847200","  847100"," 59","12"," 1"
"118","gap 14","0","100","100","100"
"43","chrY_847600","  847500"," 54","15"," 0"
"44","chrY_847700","  847600"," 19","13"," 0"
"119","gap 15","0","100","100","100"
"46","chrY_854900","  854800"," 37"," 7"," 4"
"47","chrY_855000","  854900"," 35","17","10"
"120","gap 16","0","100","100","100"
"49","chrY_861400","  861300"," 60","20"," 2"
"50","chrY_861500","  861400"," 52","14"," 2"
"121","gap 17","0","100","100","100"
"52","chrY_878000","  877900"," 37","12"," 4"
"53","chrY_878100","  878000"," 47","19","12"
"122","gap 18","0","100","100","100"
"55","chrY_885000","  884900"," 22"," 0"," 0"
"56","chrY_885100","  885000"," 18"," 0"," 0"
"123","gap 19","0","100","100","100"
"58","chrY_891300","  891200"," 16"," 9"," 1"
"59","chrY_891400","  891300"," 16"," 8"," 5"
"124","gap 20","0","100","100","100"
"61","chrY_914100","  914000"," 55"," 8"," 0"
"62","chrY_914200","  914100"," 29","11"," 0"
"125","gap 21","0","100","100","100"
"64","chrY_919000","  918900"," 42","10"," 0"
"65","chrY_919100","  919000"," 16"," 0"," 0"
"126","gap 22","0","100","100","100"
"67","chrY_927800","  927700"," 40"," 0"," 0"
"68","chrY_927900","  927800"," 54"," 2"," 4"
"127","gap 23","0","100","100","100"
"70","chrY_932500","  932400"," 10"," 0"," 0"
"71","chrY_932600","  932500"," 23"," 2"," 0"
"72","chrY_932700","  932600"," 50"," 2"," 0"
"128","gap 24","0","100","100","100"
"74","chrY_953100","  953000"," 62"," 6"," 0"
"75","chrY_953200","  953100"," 40"," 9"," 0"
"129","gap 25","0","100","100","100"
"77","chrY_954800","  954700"," 28"," 4"," 0"
"78","chrY_954900","  954800"," 31"," 4"," 0"
"79","chrY_955000","  954900"," 28"," 6"," 0"
"130","gap 26","0","100","100","100"
"81","chrY_956200","  956100"," 40"," 6"," 0"
"82","chrY_956300","  956200"," 16"," 0"," 0"
"132","gap 27","0","100","100","100"
"84","chrY_956500","  956400"," 72"," 9"," 0"
"85","chrY_956600","  956500"," 49"," 4"," 0"
"86","chrY_956700","  956600"," 45"," 0"," 0"
"133","gap 28","0","100","100","100"
"88","chrY_957200","  957100"," 21"," 0"," 0"
"89","chrY_957300","  957200"," 15"," 2"," 0"
"90","chrY_957400","  957300"," 26"," 5"," 4"
"134","gap 29","0","100","100","100"
"92","chrY_960400","  960300"," 18"," 0"," 0"
"93","chrY_960500","  960400"," 31"," 0"," 0"
"135","gap 30","0","100","100","100"
"95","chrY_962600","  962500"," 36"," 6"," 4"
"96","chrY_962700","  962600"," 41"," 2"," 4"
"136","gap 31","0","100","100","100"
"98","chrY_963700","  963600"," 18"," 0"," 0"
"99","chrY_963800","  963700"," 27"," 0"," 1"
"100","chrY_963900","  963800"," 20"," 3"," 2"
"137","gap 32","0","100","100","100"
"102","chrY_984400","  984300"," 49","21"," 0"
"103","chrY_984500","  984400"," 38","20"," 0"
"138","gap 33","0","100","100","100"
"105","chrY_990600","  990500"," 24"," 0"," 0"
"106","chrY_990700","  990600"," 27"," 0"," 0"
"139","gap 34","0","100","100","100"
"108","chrY_996200","  996100"," 27"," 4"," 0"
"109","chrY_996300","  996200"," 40"," 3"," 0"
"140","gap 35","0","100","100","100"
"1111","chrY_1022300"," 1022200"," 34"," 5"," 0"
"1121","chrY_1022400"," 1022300"," 61"," 4"," 1"
"141","gap 36","0","100","100","100"
"1141","chrY_1027100"," 1027000"," 20"," 0"," 0"
"1151","chrY_1027200"," 1027100"," 14"," 0"," 0"
"142","gap 37","0","100","100","100"
"1171","chrY_1120100"," 1120000"," 15"," 0"," 0"
"1181","chrY_1120200"," 1120100"," 19"," 0"," 0"
"1191","chrY_1120300"," 1120200"," 33"," 0"," 0"
"143","gap 38","0","100","100","100"
"1211","chrY_1120600"," 1120500"," 17"," 0"," 0"
"1221","chrY_1120700"," 1120600"," 20"," 5"," 0"
"144","gap 39","0","100","100","100"
"1241","chrY_1172000"," 1171900"," 15"," 0"," 0"
"1251","chrY_1172100"," 1172000","  9"," 0"," 0"
"145","gap 40","0","100","100","100"
"1271","chrY_1174400"," 1174300"," 65"," 6"," 1"
"1281","chrY_1174500"," 1174400"," 11"," 0"," 0"
