"","binID","start","high","medium","low"
"54687","chr4_3115000","3114900","53","0","0"
"2","chr4_3115100","  3115000"," 39","  0","  0"
"3","chr4_3115200","  3115100"," 51","  0","  0"
"1","gap 1","0","100","100","100"
"5","chr4_3193500","  3193400"," 45","  8","  0"
"6","chr4_3193600","  3193500"," 24","  7","  0"
"11","gap 2","0","100","100","100"
"8","chr4_3199900","  3199800"," 41"," 29"," 12"
"9","chr4_3200000","  3199900"," 71"," 26"," 15"
"12","gap 3","0","100","100","100"
"111","chr4_3224000","  3223900","  7","  2","  0"
"121","chr4_3224100","  3224000","182"," 85"," 26"
"13","gap 4","0","100","100","100"
"14","chr4_3240800","  3240700","339","136"," 47"
"15","chr4_3240900","  3240800","135"," 67"," 14"
"16","gap 5","0","100","100","100"
"17","chr4_3254700","  3254600","155"," 50"," 11"
"18","chr4_3254800","  3254700","299"," 76"," 12"
"19","gap 6","0","100","100","100"
"20","chr4_3256400","  3256300"," 39"," 19","  0"
"21","chr4_3256500","  3256400","117"," 56","  9"
"110","gap 7","0","100","100","100"
"23","chr4_3256900","  3256800"," 49"," 22","  0"
"24","chr4_3257000","  3256900","142"," 41","  0"
"25","chr4_3257100","  3257000","198","  8","  0"
"26","chr4_3257200","  3257100","339"," 10","  0"
"112","gap 8","0","100","100","100"
"28","chr4_3266300","  3266200"," 98"," 31","  8"
"29","chr4_3266400","  3266300"," 83"," 41"," 16"
"113","gap 9","0","100","100","100"
"31","chr4_3280200","  3280100"," 28","  7","  6"
"32","chr4_3280300","  3280200"," 82"," 17","  6"
"114","gap 10","0","100","100","100"
"34","chr4_3316900","  3316800"," 68"," 22","  0"
"35","chr4_3317000","  3316900","  8","  8","  0"
"115","gap 11","0","100","100","100"
"37","chr4_3320800","  3320700"," 69"," 33"," 14"
"38","chr4_3320900","  3320800"," 43"," 29","  3"
"116","gap 12","0","100","100","100"
"40","chr4_3331600","  3331500"," 37"," 13","  1"
"41","chr4_3331700","  3331600"," 47"," 23","  3"
"117","gap 13","0","100","100","100"
"43","chr4_3333300","  3333200"," 35","  5","  0"
"44","chr4_3333400","  3333300"," 53","  3","  0"
"118","gap 14","0","100","100","100"
"46","chr4_3337000","  3336900"," 86"," 15","  0"
"47","chr4_3337100","  3337000"," 28","  0","  0"
"119","gap 15","0","100","100","100"
"49","chr4_3337700","  3337600"," 54","  8","  0"
"50","chr4_3337800","  3337700"," 52"," 12","  0"
"120","gap 16","0","100","100","100"
"52","chr4_3338400","  3338300"," 20","  0","  0"
"53","chr4_3338500","  3338400"," 36","  5","  0"
"54","chr4_3338600","  3338500"," 61"," 12","  0"
"122","gap 17","0","100","100","100"
"56","chr4_3400400","  3400300","238"," 41","  2"
"57","chr4_3400500","  3400400","180"," 34","  5"
"123","gap 18","0","100","100","100"
"59","chr4_3443600","  3443500"," 36","  0","  0"
"60","chr4_3443700","  3443600"," 51","  0","  0"
"124","gap 19","0","100","100","100"
"62","chr4_3484000","  3483900"," 18","  0","  0"
"63","chr4_3484100","  3484000","121"," 29","  0"
"64","chr4_3484200","  3484100"," 54"," 17","  0"
"125","gap 20","0","100","100","100"
"66","chr4_3498200","  3498100"," 17","  5","  0"
"67","chr4_3498300","  3498200"," 38"," 10","  0"
"126","gap 21","0","100","100","100"
"69","chr4_3636100","  3636000"," 17","  5","  0"
"70","chr4_3636200","  3636100"," 50","  8","  0"
"71","chr4_3636300","  3636200"," 66","  2","  0"
"127","gap 22","0","100","100","100"
"73","chr4_3636700","  3636600"," 52"," 16","  3"
"74","chr4_3636800","  3636700","163"," 25","  3"
"128","gap 23","0","100","100","100"
"76","chr4_3680900","  3680800","166"," 30","  4"
"77","chr4_3681000","  3680900","177"," 23","  3"
"129","gap 24","0","100","100","100"
"79","chr4_3738100","  3738000","165"," 57","  2"
"80","chr4_3738200","  3738100"," 94"," 34","  3"
"130","gap 25","0","100","100","100"
"82","chr4_3902900","  3902800","350"," 65"," 17"
"83","chr4_3903000","  3902900","121"," 24","  0"
"131","gap 26","0","100","100","100"
"85","chr4_3991300","  3991200","240"," 53","  6"
"86","chr4_3991400","  3991300","301"," 83","  6"
"132","gap 27","0","100","100","100"
"88","chr4_4039800","  4039700","238"," 39","  5"
"89","chr4_4039900","  4039800","177"," 30","  1"
"133","gap 28","0","100","100","100"
"91","chr4_4049200","  4049100"," 87","  4","  5"
"92","chr4_4049300","  4049200"," 52","  3","  0"
"93","chr4_4049400","  4049300"," 26","  0","  0"
"94","chr4_4049500","  4049400"," 99"," 19","  4"
"134","gap 29","0","100","100","100"
"96","chr4_4121700","  4121600"," 82"," 11","  0"
"97","chr4_4121800","  4121700"," 53","  8","  0"
"135","gap 30","0","100","100","100"
"99","chr4_4122800","  4122700","  8","  0","  0"
"100","chr4_4122900","  4122800"," 14","  4","  0"
"136","gap 31","0","100","100","100"
"102","chr4_4167100","  4167000"," 43","  0","  0"
"103","chr4_4167200","  4167100","110"," 11","  0"
"137","gap 32","0","100","100","100"
"105","chr4_4202400","  4202300","163"," 40","  7"
"106","chr4_4202500","  4202400","203"," 33","  6"
"138","gap 33","0","100","100","100"
"108","chr4_4237900","  4237800"," 11","  5","  0"
"109","chr4_4238000","  4237900"," 45","  4","  0"
"1101","chr4_4238100","  4238000"," 27","  4","  0"
"139","gap 34","0","100","100","100"
"1121","chr4_4238500","  4238400","  8"," 14","  5"
"1131","chr4_4238600","  4238500"," 75"," 63"," 25"
"140","gap 35","0","100","100","100"
"1151","chr4_4268800","  4268700","299"," 32","  6"
"1161","chr4_4268900","  4268800"," 15","  0","  0"
"141","gap 36","0","100","100","100"
"1181","chr4_4298000","  4297900"," 80"," 17","  0"
"1191","chr4_4298100","  4298000","200"," 21","  4"
"142","gap 37","0","100","100","100"
"1211","chr4_4300300","  4300200","162"," 68"," 47"
"1221","chr4_4300400","  4300300"," 80"," 38"," 19"
"1231","chr4_4300500","  4300400","167"," 60"," 40"
"143","gap 38","0","100","100","100"
"1251","chr4_4340500","  4340400"," 82","  0","  0"
"1261","chr4_4340600","  4340500"," 62","  0","  0"
"144","gap 39","0","100","100","100"
"1281","chr4_4341500","  4341400","286"," 45","  6"
"1291","chr4_4341600","  4341500","120"," 18","  0"
"145","gap 40","0","100","100","100"
"1311","chr4_4341800","  4341700","246"," 42","  2"
"1321","chr4_4341900","  4341800","185"," 30","  0"
"146","gap 41","0","100","100","100"
"1341","chr4_4343600","  4343500"," 91","  4","  0"
"1351","chr4_4343700","  4343600"," 30","  0","  0"
"1361","chr4_4343800","  4343700","283"," 20","  0"
"147","gap 42","0","100","100","100"
"1381","chr4_4395400","  4395300"," 16","  0","  0"
"1391","chr4_4395500","  4395400"," 20","  4","  0"
"148","gap 43","0","100","100","100"
"1411","chr4_4401200","  4401100","302"," 41","  0"
"1421","chr4_4401300","  4401200","209"," 31","  0"
"149","gap 44","0","100","100","100"
"1441","chr4_4458800","  4458700","199"," 30","  4"
"1451","chr4_4458900","  4458800","349"," 79"," 11"
"150","gap 45","0","100","100","100"
"1471","chr4_4511300","  4511200","237"," 33","  5"
"1481","chr4_4511400","  4511300","231"," 35","  6"
"151","gap 46","0","100","100","100"
"1501","chr4_4561500","  4561400","204"," 60","  5"
"1511","chr4_4561600","  4561500","130"," 39","  0"
"152","gap 47","0","100","100","100"
"153","chr4_4576400","  4576300"," 58","  1","  0"
"154","chr4_4576500","  4576400","197"," 22","  4"
"155","gap 48","0","100","100","100"
"156","chr4_4582500","  4582400"," 64","  9","  0"
"157","chr4_4582600","  4582500","251"," 36","  1"
"158","gap 49","0","100","100","100"
"159","chr4_4652300","  4652200"," 19","  0","  0"
"160","chr4_4652400","  4652300"," 27","  4","  0"
"161","gap 50","0","100","100","100"
"162","chr4_4657400","  4657300"," 33","  0","  0"
"163","chr4_4657500","  4657400","143","  7","  6"
"164","gap 51","0","100","100","100"
"165","chr4_4723900","  4723800","100"," 29"," 16"
"166","chr4_4724000","  4723900","184"," 41"," 12"
"167","gap 52","0","100","100","100"
"168","chr4_4819400","  4819300","156"," 15","  0"
"169","chr4_4819500","  4819400","149"," 28","  0"
"170","gap 53","0","100","100","100"
"171","chr4_4850500","  4850400","132"," 14","  2"
"172","chr4_4850600","  4850500"," 83","  7","  0"
"173","gap 54","0","100","100","100"
"174","chr4_4909400","  4909300","253"," 45","  5"
"175","chr4_4909500","  4909400","142"," 25","  3"
"176","gap 55","0","100","100","100"
"177","chr4_4913000","  4912900","128"," 22","  0"
"178","chr4_4913100","  4913000","125"," 15","  0"
"179","gap 56","0","100","100","100"
"180","chr4_4941000","  4940900","135"," 46","  8"
"181","chr4_4941100","  4941000","195"," 43","  4"
"182","gap 57","0","100","100","100"
"183","chr4_4979700","  4979600","119"," 26","  8"
"184","chr4_4979800","  4979700","199"," 32","  5"
"185","gap 58","0","100","100","100"
"186","chr4_5006700","  5006600"," 24","  0","  0"
"187","chr4_5006800","  5006700"," 29","  0","  0"
"188","gap 59","0","100","100","100"
"189","chr4_5045300","  5045200","108","  0","  0"
"190","chr4_5045400","  5045300"," 88","  3","  0"
"191","chr4_5045500","  5045400","123","  0","  0"
"192","gap 60","0","100","100","100"
