"","binID","start","high","medium","low"
"40036","chrX_3050400","3050300","58","0","0"
"2","chrX_3050500","  3050400"," 86","  6","  0"
"1","gap 1","0","100","100","100"
"4","chrX_3054300","  3054200","108"," 37","  4"
"5","chrX_3054400","  3054300"," 68"," 16","  0"
"11","gap 2","0","100","100","100"
"7","chrX_3055200","  3055100"," 34","  0","  0"
"8","chrX_3055300","  3055200"," 73","  6","  0"
"12","gap 3","0","100","100","100"
"10","chrX_3194500","  3194400"," 18"," 12","  0"
"111","chrX_3194600","  3194500"," 52"," 12","  0"
"13","gap 4","0","100","100","100"
"131","chrX_3211000","  3210900"," 38"," 23","  4"
"14","chrX_3211100","  3211000"," 20","  6","  0"
"15","chrX_3211200","  3211100"," 44","  3","  0"
"16","gap 5","0","100","100","100"
"17","chrX_3217700","  3217600","173"," 34"," 10"
"18","chrX_3217800","  3217700"," 19","  6","  1"
"19","gap 6","0","100","100","100"
"20","chrX_3292600","  3292500"," 22"," 13","  0"
"21","chrX_3292700","  3292600"," 29"," 15","  0"
"110","gap 7","0","100","100","100"
"23","chrX_3308300","  3308200"," 76","  0","  0"
"24","chrX_3308400","  3308300"," 92","  3","  0"
"112","gap 8","0","100","100","100"
"26","chrX_3310700","  3310600"," 98"," 31","  5"
"27","chrX_3310800","  3310700"," 14","  9","  0"
"113","gap 9","0","100","100","100"
"29","chrX_3313100","  3313000"," 79","  0","  0"
"30","chrX_3313200","  3313100","100","  2","  0"
"114","gap 10","0","100","100","100"
"32","chrX_3316700","  3316600"," 43","  8","  0"
"33","chrX_3316800","  3316700"," 25","  0","  0"
"115","gap 11","0","100","100","100"
"35","chrX_3328300","  3328200"," 38","108","  6"
"36","chrX_3328400","  3328300","  8"," 17","  0"
"116","gap 12","0","100","100","100"
"38","chrX_3361900","  3361800"," 28","  9","  0"
"39","chrX_3362000","  3361900"," 14","  9","  0"
"117","gap 13","0","100","100","100"
"41","chrX_3371700","  3371600","115"," 47"," 22"
