"","binID","start","high","medium","low"
"14860","chr8_3014100","3014000","12","2","0"
"2","chr8_3014200","  3014100"," 37"," 18","  0"
"3","chr8_3014300","  3014200"," 25","  3","  0"
"1","gap 1","0","100","100","100"
"5","chr8_3015600","  3015500"," 21","  0","  0"
"6","chr8_3015700","  3015600"," 27","  3","  0"
"11","gap 2","0","100","100","100"
"8","chr8_3019800","  3019700"," 43","  6","  4"
"9","chr8_3019900","  3019800"," 44"," 18","  9"
"10","chr8_3020000","  3019900"," 75"," 28","  4"
"12","gap 3","0","100","100","100"
"121","chr8_3032700","  3032600"," 20"," 17","  0"
"13","chr8_3032800","  3032700","  8","  4","  0"
"14","gap 4","0","100","100","100"
"15","chr8_3047900","  3047800"," 22","  4","  1"
"16","chr8_3048000","  3047900"," 49","  9","  4"
"17","chr8_3048100","  3048000"," 26"," 10","  0"
"18","gap 5","0","100","100","100"
"19","chr8_3049900","  3049800"," 65"," 35","  9"
"20","chr8_3050000","  3049900"," 53"," 44"," 11"
"110","gap 6","0","100","100","100"
"22","chr8_3059700","  3059600"," 57","  4","  0"
"23","chr8_3059800","  3059700"," 37","  7","  0"
"111","gap 7","0","100","100","100"
"25","chr8_3060300","  3060200"," 27","  8","  0"
"26","chr8_3060400","  3060300"," 51","  5","  0"
"112","gap 8","0","100","100","100"
"28","chr8_3062400","  3062300"," 25","  7","  0"
"29","chr8_3062500","  3062400"," 40","  4","  0"
"113","gap 9","0","100","100","100"
"31","chr8_3062900","  3062800"," 36","  1","  0"
"32","chr8_3063000","  3062900"," 38","  4","  0"
"114","gap 10","0","100","100","100"
"34","chr8_3066800","  3066700"," 17","  3","  0"
"35","chr8_3066900","  3066800"," 17","  4","  0"
"36","chr8_3067000","  3066900"," 17","  1","  0"
"115","gap 11","0","100","100","100"
"38","chr8_3068800","  3068700"," 13","  0","  0"
"39","chr8_3068900","  3068800"," 47","  5","  0"
"116","gap 12","0","100","100","100"
"41","chr8_3083900","  3083800"," 42"," 25","  9"
"42","chr8_3084000","  3083900","117"," 45"," 30"
"117","gap 13","0","100","100","100"
"44","chr8_3084200","  3084100","151"," 46"," 22"
"45","chr8_3084300","  3084200"," 85"," 30"," 13"
"46","chr8_3084400","  3084300"," 46"," 11","  8"
"118","gap 14","0","100","100","100"
"48","chr8_3141900","  3141800","212"," 29","  4"
"49","chr8_3142000","  3141900","148"," 33","  3"
"119","gap 15","0","100","100","100"
"51","chr8_3163300","  3163200","194"," 27","  0"
"52","chr8_3163400","  3163300","171"," 24","  5"
"120","gap 16","0","100","100","100"
"54","chr8_3309700","  3309600"," 67","  8","  4"
"55","chr8_3309800","  3309700"," 78"," 25","  6"
"56","chr8_3309900","  3309800","146"," 40"," 11"
"57","chr8_3310000","  3309900"," 78"," 28","  2"
"122","gap 17","0","100","100","100"
"59","chr8_3361000","  3360900"," 37"," 20","  7"
"60","chr8_3361100","  3361000","126"," 80"," 24"
