"","binID","start","cata","aRead","bRead","aNorm","bNorm"
"10082","chrY_132200","  132100",3,21,43,60,68.2539683
"3635","chrY_132200","  132100",2,14,20,40,31.7460317
"10083","chrY_134700","  134600",3,28,44,77.7777778,89.7959184
"3636","chrY_134700","  134600",2,6,1,16.6666667,2.0408163
"1","chrY_134700","  134600",1,2,4,5.5555556,8.1632653
"10084","chrY_141900","  141800",3,16,22,88.8888889,91.6666667
"3637","chrY_141900","  141800",2,2,2,11.1111111,8.3333333
"10085","chrY_144900","  144800",3,49,38,80.3278689,84.4444444
"3638","chrY_144900","  144800",2,8,5,13.1147541,11.1111111
"2","chrY_144900","  144800",1,4,2,6.557377,4.4444444
"10086","chrY_171300","  171200",3,129,145,61.4285714,56.640625
"3639","chrY_171300","  171200",2,53,72,25.2380952,28.125
"3","chrY_171300","  171200",1,28,39,13.3333333,15.234375
"10087","chrY_174500","  174400",3,8,22,50,59.4594595
"3640","chrY_174500","  174400",2,4,7,25,18.9189189
"4","chrY_174500","  174400",1,4,8,25,21.6216216
"10088","chrY_180300","  180200",3,38,31,95,93.9393939
"3641","chrY_180300","  180200",2,2,2,5,6.0606061
"10089","chrY_196400","  196300",3,4,4,36.3636364,33.3333333
"3642","chrY_196400","  196300",2,7,8,63.6363636,66.6666667
"10090","chrY_204500","  204400",3,48,40,100,100
"10091","chrY_262400","  262300",3,20,32,90.9090909,91.4285714
"3643","chrY_262400","  262300",2,2,3,9.0909091,8.5714286
"10092","chrY_263600","  263500",3,14,14,70,70
"3644","chrY_263600","  263500",2,3,1,15,5
"5","chrY_263600","  263500",1,3,5,15,25
"10093","chrY_291800","  291700",3,8,23,53.3333333,76.6666667
"3645","chrY_291800","  291700",2,7,7,46.6666667,23.3333333
"10094","chrY_304200","  304100",3,15,12,100,100
"10095","chrY_344400","  344300",3,7,10,70,90.9090909
"3646","chrY_344400","  344300",2,3,1,30,9.0909091
"10096","chrY_665200","  665100",3,12,14,66.6666667,56
"3647","chrY_665200","  665100",2,6,11,33.3333334,44
"10097","chrY_666000","  665900",3,15,12,65.2173913,35.2941176
"3648","chrY_666000","  665900",2,7,13,30.4347826,38.2352941
"6","chrY_666000","  665900",1,1,9,4.3478261,26.4705882
"10098","chrY_671900","  671800",3,16,28,57.1428571,80
"3649","chrY_671900","  671800",2,12,7,42.8571429,20
"10099","chrY_684400","  684300",3,22,23,81.4814815,56.097561
"3650","chrY_684400","  684300",2,5,18,18.5185185,43.902439
"10100","chrY_686200","  686100",3,24,29,70.5882353,70.7317073
"3651","chrY_686200","  686100",2,6,6,17.6470588,14.6341463
"7","chrY_686200","  686100",1,4,6,11.7647059,14.6341463
"10101","chrY_690200","  690100",3,33,55,100,100
"10102","chrY_692000","  691900",3,437,641,81.5298507,81.0366625
"3652","chrY_692000","  691900",2,80,124,14.9253731,15.676359
"8","chrY_692000","  691900",1,19,26,3.5447761,3.2869785
"10103","chrY_692200","  692100",3,16,21,59.2592593,60
"3653","chrY_692200","  692100",2,10,11,37.037037,31.4285714
"9","chrY_692200","  692100",1,1,3,3.7037037,8.5714286
"10104","chrY_693100","  693000",3,19,13,100,100
"10105","chrY_694100","  694000",3,49,47,98,94
"10","chrY_694100","  694000",1,1,3,2,6
"10106","chrY_694200","  694100",3,8,12,100,100
"10107","chrY_694300","  694200",3,42,75,100.0000001,100
"10108","chrY_694400","  694300",3,11,11,100,100
"10109","chrY_694500","  694400",3,12,9,100,100
"10110","chrY_695100","  695000",3,16,19,69.5652174,65.5172414
"3654","chrY_695100","  695000",2,7,10,30.4347826,34.4827586
"10111","chrY_695200","  695100",3,29,27,87.8787879,67.5
"3655","chrY_695200","  695100",2,4,13,12.1212121,32.5
"10112","chrY_696200","  696100",3,34,41,68,65.0793651
"3656","chrY_696200","  696100",2,7,17,14,26.9841269
"11","chrY_696200","  696100",1,9,5,18,7.9365079
"10113","chrY_697100","  697000",3,7,17,53.8461538,77.2727273
"3657","chrY_697100","  697000",2,3,3,23.0769231,13.6363636
"12","chrY_697100","  697000",1,3,2,23.0769231,9.0909091
"10114","chrY_700300","  700200",3,95,107,94.0594059,86.9918699
"3658","chrY_700300","  700200",2,4,10,3.960396,8.1300813
"13","chrY_700300","  700200",1,2,6,1.980198,4.8780488
"10115","chrY_700900","  700800",3,54,79,85.7142857,86.8131868
"3659","chrY_700900","  700800",2,9,12,14.2857143,13.1868132
"10116","chrY_701200","  701100",3,44,65,89.7959184,85.5263158
"3660","chrY_701200","  701100",2,5,11,10.2040816,14.4736842
"10117","chrY_701700","  701600",3,18,15,100,100
"10118","chrY_702000","  701900",3,40,42,71.4285714,67.7419355
"3661","chrY_702000","  701900",2,7,12,12.5,19.3548387
"14","chrY_702000","  701900",1,9,8,16.0714286,12.9032258
"10119","chrY_702100","  702000",3,17,33,100,100.0000001
"10120","chrY_702300","  702200",3,64,70,100,100
"10121","chrY_702600","  702500",3,52,95,82.5396825,81.8965517
"3662","chrY_702600","  702500",2,10,17,15.8730159,14.6551724
"15","chrY_702600","  702500",1,1,4,1.5873016,3.4482759
"10122","chrY_702900","  702800",3,15,11,55.5555556,50
"3663","chrY_702900","  702800",2,12,11,44.4444444,49.9999999
"10123","chrY_703000","  702900",3,38,34,100,100
"10124","chrY_703100","  703000",3,20,24,68.9655172,80
"3664","chrY_703100","  703000",2,9,6,31.0344828,20
"10125","chrY_703200","  703100",3,47,52,77.0491803,74.2857143
"3665","chrY_703200","  703100",2,11,15,18.0327868,21.4285715
"16","chrY_703200","  703100",1,3,3,4.9180328,4.2857143
"10126","chrY_703700","  703600",3,34,32,75.5555556,72.7272727
"3666","chrY_703700","  703600",2,11,12,24.4444444,27.2727273
"10127","chrY_703800","  703700",3,17,23,100,100
"10128","chrY_704600","  704500",3,25,37,100,100
"10129","chrY_704700","  704600",3,22,24,84.6153846,85.7142857
"3667","chrY_704700","  704600",2,4,4,15.3846154,14.2857143
"10130","chrY_704800","  704700",3,52,63,100,100
"10131","chrY_704900","  704800",3,35,40,57.3770492,59.7014925
"3668","chrY_704900","  704800",2,24,25,39.3442623,37.3134328
"17","chrY_704900","  704800",1,2,2,3.2786885,2.9850746
"10132","chrY_705000","  704900",3,30,40,76.9230769,62.5
"3669","chrY_705000","  704900",2,9,24,23.0769231,37.5
"10133","chrY_706000","  705900",3,14,24,100,100
"10134","chrY_707600","  707500",3,13,10,59.0909091,62.5
"3670","chrY_707600","  707500",2,9,6,40.9090909,37.5
"10135","chrY_708500","  708400",3,28,29,100,100
"10136","chrY_708600","  708500",3,12,14,100,100
"10137","chrY_708700","  708600",3,22,15,100,100
"10138","chrY_709100","  709000",3,18,16,33.3333333,24.2424242
"3671","chrY_709100","  709000",2,28,36,51.8518519,54.5454546
"18","chrY_709100","  709000",1,8,14,14.8148148,21.2121212
"10139","chrY_709200","  709100",3,11,11,91.6666667,73.3333333
"3672","chrY_709200","  709100",2,1,4,8.3333333,26.6666667
"10140","chrY_709900","  709800",3,4,6,28.5714286,46.1538462
"3673","chrY_709900","  709800",2,10,7,71.4285714,53.8461539
